name,area,category,tier,starting,condition,rare,dangerous,weight,cost,prerequisites,prerequisites_full,unlocked_direct,unlocked_full,tier1_physics_techs_unlocked,tier1_society_techs_unlocked,tier1_engineering_techs_unlocked,tier1_physics_techs_unlocked_cost,tier1_society_techs_unlocked_cost,tier1_engineering_techs_unlocked_cost,tier2_physics_techs_unlocked,tier2_society_techs_unlocked,tier2_engineering_techs_unlocked,tier2_physics_techs_unlocked_cost,tier2_society_techs_unlocked_cost,tier2_engineering_techs_unlocked_cost,tier3_physics_techs_unlocked,tier3_society_techs_unlocked,tier3_engineering_techs_unlocked,tier3_physics_techs_unlocked_cost,tier3_society_techs_unlocked_cost,tier3_engineering_techs_unlocked_cost,tier4_physics_techs_unlocked,tier4_society_techs_unlocked,tier4_engineering_techs_unlocked,tier4_physics_techs_unlocked_cost,tier4_society_techs_unlocked_cost,tier4_engineering_techs_unlocked_cost,tier5_physics_techs_unlocked,tier5_society_techs_unlocked,tier5_engineering_techs_unlocked,tier5_physics_techs_unlocked_cost,tier5_society_techs_unlocked_cost,tier5_engineering_techs_unlocked_cost,to_tier1_physics_techs_unlocked,to_tier1_society_techs_unlocked,to_tier1_engineering_techs_unlocked,to_tier1_physics_techs_unlocked_cost,to_tier1_society_techs_unlocked_cost,to_tier1_engineering_techs_unlocked_cost,to_tier2_physics_techs_unlocked,to_tier2_society_techs_unlocked,to_tier2_engineering_techs_unlocked,to_tier2_physics_techs_unlocked_cost,to_tier2_society_techs_unlocked_cost,to_tier2_engineering_techs_unlocked_cost,to_tier3_physics_techs_unlocked,to_tier3_society_techs_unlocked,to_tier3_engineering_techs_unlocked,to_tier3_physics_techs_unlocked_cost,to_tier3_society_techs_unlocked_cost,to_tier3_engineering_techs_unlocked_cost,to_tier4_physics_techs_unlocked,to_tier4_society_techs_unlocked,to_tier4_engineering_techs_unlocked,to_tier4_physics_techs_unlocked_cost,to_tier4_society_techs_unlocked_cost,to_tier4_engineering_techs_unlocked_cost,to_tier5_physics_techs_unlocked,to_tier5_society_techs_unlocked,to_tier5_engineering_techs_unlocked,to_tier5_physics_techs_unlocked_cost,to_tier5_society_techs_unlocked_cost,to_tier5_engineering_techs_unlocked_cost,ignored,blocked,indirectly_blocked
tech_colossus,engineering,voidcraft,5,False,True,True,False,0,14000,tech_titans,tech_titans tech_battleships tech_cruisers tech_destroyers tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,tech_pk_cracker tech_pk_shielder tech_pk_neutron tech_pk_godray tech_pk_nanobots,tech_pk_cracker tech_pk_shielder tech_pk_neutron tech_pk_godray tech_pk_nanobots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,28000,14000,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,28000,14000,42000,False,False,False
tech_pk_cracker,engineering,voidcraft,5,False,True,True,False,20,14000,tech_colossus,tech_colossus tech_titans tech_battleships tech_cruisers tech_destroyers tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,False,False,False
tech_pk_shielder,physics,voidcraft,5,False,True,True,False,20,14000,tech_colossus,tech_colossus tech_titans tech_battleships tech_cruisers tech_destroyers tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,0,False,False,False
tech_pk_neutron,physics,voidcraft,5,False,True,True,False,20,14000,tech_colossus,tech_colossus tech_titans tech_battleships tech_cruisers tech_destroyers tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,0,False,False,False
tech_pk_godray,society,psionics,5,False,True,True,False,20,14000,tech_colossus,tech_colossus tech_titans tech_battleships tech_cruisers tech_destroyers tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,False,False,False
tech_pk_nanobots,engineering,voidcraft,5,False,True,True,False,20,14000,tech_colossus,tech_colossus tech_titans tech_battleships tech_cruisers tech_destroyers tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14000,False,False,False
tech_space_exploration,engineering,voidcraft,0,True,False,False,False,0,0,tech_basic_science_lab_1,tech_basic_science_lab_1,tech_colonization_1,tech_colonization_1 tech_cryostasis_1 tech_cryostasis_2 tech_colonization_2 tech_colonization_3 tech_colonization_4 tech_colonization_5 tech_tomb_world_adaption tech_space_trading tech_frontier_health tech_frontier_hospital tech_tb_mountain_range tech_tb_volcano tech_tb_dangerous_wildlife tech_tb_dense_jungle tech_tb_quicksand_basin tech_tb_noxious_swamp tech_tb_massive_glacier tech_tb_toxic_kelp tech_tb_deep_sinkhole tech_terrestrial_sculpting tech_ecological_adaptation tech_climate_restoration tech_modular_components tech_intelligent_factories,1,10,1,780,5900,0,0,8,0,0,13280,0,1,3,0,2000,12000,0,0,2,0,0,16000,0,0,0,0,0,0,0,1,10,1,780,5900,0,1,18,1,780,19180,0,2,21,1,2780,31180,0,2,23,1,2780,47180,0,2,23,1,2780,47180,0,False,False,False
tech_corvettes,engineering,voidcraft,0,True,False,False,False,0,0,tech_starbase_2,tech_starbase_2 tech_starbase_1 tech_space_construction,tech_destroyers tech_corvette_build_speed tech_corvette_hull_1,tech_destroyers tech_cruisers tech_battleships tech_titans tech_colossus tech_pk_cracker tech_pk_shielder tech_pk_neutron tech_pk_godray tech_pk_nanobots tech_titan_hull_1 tech_titan_hull_2 tech_battleship_build_speed tech_battleship_hull_1 tech_battleship_hull_2 tech_mega_engineering tech_gateway_construction tech_mass_accelerator_1 tech_mass_accelerator_2 tech_energy_lance_1 tech_energy_lance_2 tech_arc_emitter_1 tech_arc_emitter_2 tech_cruiser_build_speed tech_cruiser_hull_1 tech_cruiser_hull_2 tech_destroyer_build_speed tech_destroyer_hull_1 tech_destroyer_hull_2 tech_corvette_build_speed tech_corvette_hull_1 tech_corvette_hull_2,0,0,3,0,0,1420,0,0,4,0,0,6500,0,0,4,0,0,15000,4,0,6,36000,0,48000,3,1,8,48000,14000,127000,0,0,3,0,0,1420,0,0,7,0,0,7920,0,0,11,0,0,22920,4,0,17,36000,0,70920,7,1,25,84000,14000,197920,False,False,False
tech_destroyers,engineering,voidcraft,2,False,False,False,False,85,1000,tech_corvettes,tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,tech_cruisers tech_destroyer_build_speed tech_destroyer_hull_1,tech_cruisers tech_battleships tech_titans tech_colossus tech_pk_cracker tech_pk_shielder tech_pk_neutron tech_pk_godray tech_pk_nanobots tech_titan_hull_1 tech_titan_hull_2 tech_battleship_build_speed tech_battleship_hull_1 tech_battleship_hull_2 tech_mega_engineering tech_gateway_construction tech_mass_accelerator_1 tech_mass_accelerator_2 tech_energy_lance_1 tech_energy_lance_2 tech_arc_emitter_1 tech_arc_emitter_2 tech_cruiser_build_speed tech_cruiser_hull_1 tech_cruiser_hull_2 tech_destroyer_build_speed tech_destroyer_hull_1 tech_destroyer_hull_2,0,0,0,0,0,0,0,0,3,0,0,4500,0,0,4,0,0,15000,4,0,6,36000,0,48000,3,1,8,48000,14000,127000,0,0,0,0,0,0,0,0,3,0,0,4500,0,0,7,0,0,19500,4,0,13,36000,0,67500,7,1,21,84000,14000,194500,False,False,False
tech_cruisers,engineering,voidcraft,3,False,False,False,False,65,3000,tech_destroyers,tech_destroyers tech_corvettes tech_starbase_2 tech_starbase_1 tech_space_construction,tech_battleships tech_cruiser_build_speed tech_cruiser_hull_1,tech_battleships tech_titans tech_colossus tech_pk_cracker tech_pk_shielder tech_pk_neutron tech_pk_godray tech_pk_nanobots tech_titan_hull_1 tech_titan_hull_2 tech_battleship_build_speed tech_battleship_hull_1 tech_battleship_hull_2 tech_mega_engineering tech_gateway_construction tech_mass_accelerator_1 tech_mass_accelerator_2 tech_energy_lance_1 tech_energy_lance_2 tech_arc_emitter_1 tech_arc_emitter_2 tech_cruiser_build_speed tech_cruiser_hull_1 tech_cruiser_hull_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12000,4,0,6,36000,0,48000,3,1,8,48000,14000,127000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12000,4,0,9,36000,0,60000,7,1,17,84000,14000,187000,False,False,False
